train_fraction,train_rows,train_facturas,validation_rows,f1_macro_train,f1_macro_validation,balanced_accuracy_train,balanced_accuracy_validation
0.2,2513,683,3149,0.6225466416731815,0.5602995549043677,0.6520891180663104,0.58892230682774
0.4,5023,1366,3149,0.5901983287938929,0.5668491217638792,0.6212699343306294,0.5970703257237392
0.6,7547,2050,3149,0.5871498633974679,0.556048160521887,0.6179090880318953,0.5842644390412656
0.8,10101,2733,3149,0.583703567794645,0.5699382932406654,0.6159894695414893,0.5998635006976537
1.0,12586,3416,3149,0.5817401911177658,0.5631566708836815,0.6136938426171651,0.5931495592327458
