hiperparametro,efecto_rango_f1,spearman_f1,importancia_surrogate_rf,score_importancia
C,0.02484634675067754,0.7969313562795548,0.896296698731834,0.3734264875431402
class_weight,0.00402935949018457,,0.07438230975519414,0.032170539596188395
tol,0.002673982770618588,-0.28609251820708265,0.026547647650692494,0.012223448722648151
max_iter,5.909911962764802e-05,0.0,0.002773343862279239,0.0011447970166882844
