clase,precision,recall,f1-score,support
+30,0.4231974921630094,0.5392809587217043,0.47423887587822017,751.0
+60,0.5230769230769231,0.39241549876339654,0.4484220442769666,1213.0
+90,0.6854545454545454,0.579554189085319,0.6280716368179925,1301.0
on_time,0.6171310629514963,0.8912071535022354,0.7292682926829268,671.0
accuracy,0.5673272357723578,0.5673272357723578,0.5673272357723578,0.5673272357723578
macro avg,0.5622150059114936,0.6006144500181638,0.5700002124140264,3936.0
weighted avg,0.5737258463372829,0.5673272357723578,0.5606071035017672,3936.0
