escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,latencia_total_s,latencia_ms_por_reg,n_registros,recall_+90,f1_+90,auc_weighted,familia,degradacion_f1_macro_pct,nivel,n_runs,f1_macro_std,f1_macro_ci95_low,f1_macro_ci95_high,degradacion_f1_macro_pct_mean,degradacion_f1_macro_pct_std,ttest_degradacion_pvalue,tipo_drift,sector,tipo_stress,condicion_limite,resultado_tecnico,error
baseline_clean,0.5673272357723578,0.6006144500181638,0.5700002124140264,0.5606071035017672,0.5622150059114936,0.6006144500181638,0.009668200043961406,0.0024563516371853165,3936.0,0.579554189085319,0.6280716368179925,0.8131360620018101,baseline,,,,,,,,,,,,,,,
ruido_gaussiano_5pct,,0.5683158104453101,0.5432469780809877,,,,,,,0.6434281322059954,,,ruido_gaussiano,,0.05,10.0,0.0036269293370756735,0.5409989839879294,0.5454949721740459,4.693548133909509,0.6363031553471089,2.3290829061400985e-09,,,,,,
ruido_gaussiano_10pct,,0.5412807223551559,0.5239829530836424,,,,,,,0.6637970791698694,,,ruido_gaussiano,,0.1,10.0,0.0032631917102621437,0.5219604059073855,0.5260055002598993,8.073200382767375,0.5724895603884241,7.167119370664007e-12,,,,,,
ruido_gaussiano_20pct,,0.4890622166781397,0.4853105084805141,,,,,,,0.6840122982321292,,,ruido_gaussiano,,0.2,10.0,0.006129747879060901,0.481511251383552,0.4891097655774762,14.857837258488063,1.0753939639953125,8.610365024744585e-12,,,,,,
missing_aleatorio_5pct,,0.5674773051498676,0.5473591558690177,,,,,,,0.5554189085318985,,,missing_aleatorio,,0.05,10.0,0.004454721398351467,0.5445980909408027,0.5501202207972328,3.972113703102113,0.7815297786443152,6.184780936576709e-08,,,,,,
missing_aleatorio_15pct,,0.5103449944560114,0.5075047353607208,,,,,,,0.5073789392774789,,,missing_aleatorio,,0.15,10.0,0.00601827355969487,0.5037745707627223,0.5112348999587194,10.964114695436512,1.0558370731489177,1.108442520268222e-10,,,,,,
missing_aleatorio_30pct,,0.43761724402904434,0.44301372113780524,,,,,,,0.4410453497309762,,,missing_aleatorio,,0.3,10.0,0.0056250976530729585,0.43952724949146793,0.44650019278414255,22.278323500690743,0.9868588696221577,1.04975726090168e-13,,,,,,
missing_dirigido_gestion,,0.4785251951768739,0.49023580473094946,,,,,,,0.5357417371252884,,,missing_dirigido,,1.0,10.0,0.0,0.49023580473094946,0.49023580473094946,13.993750519015446,0.0,3.7790220265580456e-143,,,,,,
missing_dirigido_promesas,,0.5966338613511459,0.5624744982186749,,,,,,,0.5311299000768639,,,missing_dirigido,,1.0,10.0,1.1702778228589004e-16,0.5624744982186748,0.562474498218675,1.3203002440085299,2.340555645717801e-16,0.0,,,,,,
missing_dirigido_historial,,0.578623420093807,0.5550631215317612,,,,,,,0.6079938508839354,,,missing_dirigido,,1.0,10.0,0.0,0.5550631215317612,0.5550631215317612,2.6205412834856125,4.681111291435602e-16,0.0,,,,,,
outlier_monto_3x_5pct,,0.6006626625962201,0.5698538244951233,,,,,,,0.5757878554957724,,,outlier_monto,,0.05,10.0,0.0009839190569154248,0.5692439851455162,0.5704636638447305,0.025682081465043336,0.17261731407930483,0.6492015989331249,,,,,,
outlier_monto_5x_5pct,,0.6002330528701193,0.569478476134391,,,,,,,0.5742505764796311,,,outlier_monto,,0.05,10.0,0.0006995943089643001,0.5690448630893249,0.569912089179457,0.09153264652759584,0.12273579793969298,0.04271802503637409,,,,,,
outlier_monto_10x_5pct,,0.5993054910787541,0.568606788644398,,,,,,,0.5714066102997694,,,outlier_monto,,0.05,10.0,0.0007553186620223751,0.5681386372874785,0.5690749400013174,0.24446021936152312,0.1325119965874224,0.00024872838317073866,,,,,,
outlier_monto_5x_10pct,,0.5991821357960634,0.5681104897284988,,,,,,,0.5684089162182937,,,outlier_monto,,0.1,10.0,0.001975702906900178,0.5668859363800373,0.5693350430769603,0.33153017215983954,0.3466144159022001,0.014370448777434434,,,,,,
outlier_critico_combinado,,0.4114795335960574,0.4180048103163605,,,,,,,0.7013066871637202,,,combinado,,1.0,10.0,0.008258797187070123,0.412885954786832,0.423123665845889,26.665850079940366,1.4489112472595442,6.575568692896597e-13,,,,,,
drift_temporal_futuro,0.559685177087888,0.612247758494292,0.5646558213654236,0.5606385219721393,0.5512442834791649,0.612247758494292,0.0090616000816226,0.0013207404287454599,6861.0,0.5805428269298555,0.6522772277227723,0.8056666104665693,,0.9376121152602107,,,,,,,,,temporal,,,,,
drift_sector_retail,0.5489130434782609,0.5839759619262724,0.5352585511943053,0.5405463378887595,0.5474184485814424,0.5839759619262724,0.0043351000640541315,0.011780163217538402,368.0,0.5652173913043478,0.4642857142857143,0.8198911492103088,,6.095026012812446,,,,,,,,,covariate_sector,retail,,,,
drift_sector_manufactura,0.5549525101763908,0.5914111151688356,0.5478473100154516,0.5326472072080314,0.5419793434745802,0.5914111151688356,0.004325399990193546,0.005868928073532627,737.0,0.6770428015564203,0.6444444444444445,0.8204715073620774,,3.8864726566950454,,,,,,,,,covariate_sector,manufactura,,,,
drift_sector_servicios,0.605072463768116,0.6492689725793606,0.6222344296064112,0.5987320754811088,0.6261657631388979,0.6492689725793606,0.003574300091713667,0.012950362651136475,276.0,0.5,0.5891472868217055,0.8047933158770754,,-9.163894338068037,,,,,,,,,covariate_sector,servicios,,,,
drift_sector_construccion,0.5495626822157434,0.5873466705925013,0.5509689519767157,0.5545590455275095,0.5447710314533336,0.5873466705925013,0.005502099986188114,0.008020553915726114,686.0,0.5564516129032258,0.6344827586206897,0.787613859250659,,3.3388163763502523,,,,,,,,,covariate_sector,construccion,,,,
drift_sector_agro,0.5740318906605922,0.5913043765998592,0.5597693699921747,0.5666583522212753,0.5517114495082569,0.5913043765998592,0.0042700000340119,0.00972665155811367,439.0,0.5609756097560976,0.6258503401360545,0.8264674971671702,,1.7948839665379615,,,,,,,,,covariate_sector,agro,,,,
drift_sector_tecnologia,0.5727848101265823,0.5650289673629489,0.5429464027046415,0.5665130839483083,0.5399688534872151,0.5650289673629489,0.0036231999984011054,0.011465822779750333,316.0,0.635593220338983,0.6944444444444444,0.84245688098928,,4.746280636424417,,,,,,,,,covariate_sector,tecnologia,,,,
drift_sector_salud,0.5771428571428572,0.6003917800750149,0.5792561961682271,0.570018986005038,0.6072651781493245,0.6003917800750149,0.003747900016605854,0.0071388571744873406,525.0,0.44525547445255476,0.5781990521327014,0.811204271072844,,-1.6238561938425167,,,,,,,,,covariate_sector,salud,,,,
drift_sector_transporte,0.5806451612903226,0.6250300461998686,0.5809600123437519,0.5771819324578324,0.5611695704574884,0.6250300461998686,0.0039091999642550945,0.006637011823862639,589.0,0.5882352941176471,0.646551724137931,0.7990595820618228,,-1.92277120096312,,,,,,,,,covariate_sector,transporte,,,,
drift_cartera_critica_q75,0.5280498664292075,0.4062359243928053,0.3784995664043954,0.5282032193569621,0.3736558222057016,0.4062359243928053,0.004714399925433099,0.004198040895309973,1123.0,0.6194852941176471,0.6474543707973103,0.7220173789799545,,33.59659204311528,,,,,,,,,covariate_riesgo,,,,,
stress_inputs_extremos,0.3305386178861789,0.25,0.12421233530647317,0.16422789454646505,0.08263465447154472,0.25,0.013992700027301908,0.0035550559012454035,3936.0,1.0,0.4968493412258927,0.6517794877017473,,78.20837034772013,,,,,,,,,,,inputs_extremos,"montos altos, tasas fuera de rango y dias negativos",prediccion_completa,
stress_columna_extra,0.5673272357723578,0.6006144500181638,0.5700002124140264,0.5606071035017672,0.5622150059114936,0.6006144500181638,0.007272099959664047,0.0018475863718658656,3936.0,0.579554189085319,0.6280716368179925,0.8131360620018101,,0.0,,,,,,,,,,,schema,columna adicional no esperada,ignorada_por_column_transformer,
stress_columna_requerida_faltante,,,,,,,,,3936.0,,,,,,,,,,,,,,,,schema,se elimina una feature requerida antes de inferencia,falla_controlada,KeyError
stress_volumen_1x,0.5673272357723578,0.6006144500181638,0.5700002124140264,0.5606071035017672,0.5622150059114936,0.6006144500181638,0.006180600030347705,0.0015702743979541932,3936.0,0.579554189085319,0.6280716368179925,0.8131360620018101,,0.0,,,,,,,,,,,volumen,3936 registros en lote,prediccion_completa,
stress_volumen_10x,0.5673272357723578,0.6006144500181638,0.5700002124140264,0.5606071035017673,0.5622150059114936,0.6006144500181638,0.04210590000730008,0.0010697637196976646,39360.0,0.579554189085319,0.6280716368179925,0.8131360620018101,,0.0,,,,,,,,,,,volumen,39360 registros en lote,prediccion_completa,
stress_volumen_50x,0.5673272357723578,0.6006144500181638,0.5700002124140264,0.5606071035017673,0.5622150059114936,0.6006144500181638,0.21292600000742823,0.0010819410569483142,196800.0,0.579554189085319,0.6280716368179925,0.81313606200181,,0.0,,,,,,,,,,,volumen,196800 registros en lote,prediccion_completa,
stress_volumen_100x,0.5673272357723578,0.6006144500181638,0.5700002124140264,0.5606071035017673,0.5622150059114936,0.6006144500181638,0.421360099921003,0.0010705287091488898,393600.0,0.579554189085319,0.6280716368179925,0.81313606200181,,0.0,,,,,,,,,,,volumen,393600 registros en lote,prediccion_completa,
