escenario,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,latencia_total_s,latencia_ms_por_reg,n_registros,recall_+90,f1_+90,auc_weighted,familia,nivel,seed,degradacion_f1_macro_pct
ruido_gaussiano_5pct,0.5376016260162602,0.5629264433508153,0.5368352633281769,0.5224820380596428,0.5257025443080582,0.5629264433508153,0.007363599957898259,0.001870833322636753,3936,0.644119907763259,0.6127970749542961,0.7945661577615495,ruido_gaussiano,0.05,101,5.818409952058016
ruido_gaussiano_5pct,0.546239837398374,0.5701951634002077,0.5447109135330122,0.53302971703663,0.5340024955834316,0.5701951634002077,0.006858399952761829,0.0017424796627951802,3936,0.644119907763259,0.6223542517638322,0.7965030237480106,ruido_gaussiano,0.05,102,4.436717448562123
ruido_gaussiano_5pct,0.5472560975609756,0.570796002640894,0.5471178798950957,0.5351735157612579,0.5363290309085036,0.570796002640894,0.008069699979387224,0.0020502286532995996,3936,0.6402767102229054,0.620253164556962,0.7938586372368244,ruido_gaussiano,0.05,103,4.014442805559838
ruido_gaussiano_5pct,0.5429369918699187,0.5670726325623884,0.5411849636192811,0.5289735826983354,0.5300551199563303,0.5670726325623884,0.006626899936236441,0.0016836636016860876,3936,0.644119907763259,0.6198224852071006,0.7959285715651425,ruido_gaussiano,0.05,104,5.055304922205009
ruido_gaussiano_5pct,0.539380081300813,0.5653207839340395,0.539336099122885,0.5247955639632563,0.5278060527856328,0.5653207839340395,0.007152899983339012,0.001817301825035318,3936,0.6379707916986933,0.6114180478821363,0.7949452402232413,ruido_gaussiano,0.05,105,5.379666993679669
ruido_gaussiano_5pct,0.5464939024390244,0.5704332301166317,0.5453991352662835,0.533631558003989,0.5345521029366141,0.5704332301166317,0.007779699983075261,0.001976549792447983,3936,0.644119907763259,0.6230483271375464,0.7982523692532602,ruido_gaussiano,0.05,106,4.315976838596978
ruido_gaussiano_5pct,0.5434451219512195,0.5650029320544145,0.5419350408067338,0.5305051682400664,0.5318382957242984,0.5650029320544145,0.00639320001937449,0.0016242886228085593,3936,0.6502690238278247,0.6206896551724138,0.7954141231399445,ruido_gaussiano,0.05,107,4.92371248221696
ruido_gaussiano_5pct,0.5447154471544715,0.5677338156048373,0.5426288607919676,0.5311280022525722,0.5321009054481014,0.5677338156048373,0.006415099953301251,0.0016298526304119032,3936,0.6487317448116833,0.6226484691995574,0.7942103492108141,ruido_gaussiano,0.05,108,4.801989723150722
ruido_gaussiano_5pct,0.5439532520325203,0.5693976491290027,0.5443625476713957,0.5304395792490278,0.533297121406163,0.5693976491290027,0.006267599994316697,0.0015923780473365593,3936,0.6356648731744812,0.61100849649058,0.7979552839261157,ruido_gaussiano,0.05,109,4.4978342436140215
ruido_gaussiano_5pct,0.5495426829268293,0.57427945165987,0.5489590767750447,0.5362396894693274,0.5382846127671651,0.57427945165987,0.006630799965932965,0.001684654462889473,3936,0.6448885472713297,0.6210214655810511,0.7943085152560075,ruido_gaussiano,0.05,110,3.691425929451796
ruido_gaussiano_10pct,0.5248983739837398,0.5390304414545684,0.5217513471873487,0.5107120720024133,0.515066100330293,0.5390304414545684,0.006404299987480044,0.0016271087366565152,3936,0.6671790930053805,0.6086956521739131,0.7715500722814062,ruido_gaussiano,0.1,101,8.464710043236188
