experiment_id,C,class_weight,max_iter,tol,solver,fit_time_s,n_iter_max,converged,accuracy_inner_train,balanced_accuracy_inner_train,precision_macro_inner_train,recall_macro_inner_train,f1_macro_inner_train,auc_weighted_inner_train,accuracy_inner_valid,balanced_accuracy_inner_valid,precision_macro_inner_valid,recall_macro_inner_valid,f1_macro_inner_valid,auc_weighted_inner_valid,gap_f1_train_valid,rank_valid,selected_for_final
18,1.0,none,200,0.0001,lbfgs,0.31389540003146976,130,True,0.5846688713643687,0.595534465050409,0.5769057544745126,0.595534465050409,0.5780984165501577,0.8261233529645058,0.5687468290208016,0.5824310082848586,0.5620194412969911,0.5824310082848586,0.5658481638766936,0.8167551849122563,0.012250252673464135,13,False
20,1.0,none,500,0.0001,lbfgs,0.21036370005458593,130,True,0.5846688713643687,0.595534465050409,0.5769057544745126,0.595534465050409,0.5780984165501577,0.8261233529645058,0.5687468290208016,0.5824310082848586,0.5620194412969911,0.5824310082848586,0.5658481638766936,0.8167551849122563,0.012250252673464135,14,False
38,100.0,balanced,200,0.0001,lbfgs,0.3589545999420807,200,False,0.5817858051386415,0.6122908558755769,0.5746000496866401,0.6122908558755769,0.5815402384769018,0.8263972083846723,0.5639269406392694,0.5967124023995478,0.5584129126303385,0.5967124023995478,0.5658322883089527,0.8180121228025582,0.015707950167949125,15,False
36,100.0,none,500,0.0001,lbfgs,0.41053130000364035,228,True,0.5839905028406682,0.595209027575777,0.5760017592395363,0.595209027575777,0.5778203571206709,0.8264409364208883,0.5687468290208016,0.581912337402831,0.5609165448311079,0.581912337402831,0.5654706636359537,0.817498851311499,0.012349693484717261,16,False
25,10.0,none,200,0.001,lbfgs,0.20459740003570914,50,True,0.5833969303824302,0.5943443943635258,0.574699144212953,0.5943443943635258,0.5761830853205003,0.8254766196705157,0.5657026889903602,0.5802601310758313,0.5588463042417225,0.5802601310758313,0.5628771296124185,0.8150944693693459,0.013305955708081796,17,False
27,10.0,none,500,0.001,lbfgs,0.1457564999582246,50,True,0.5833969303824302,0.5943443943635258,0.574699144212953,0.5943443943635258,0.5761830853205003,0.8254766196705157,0.5657026889903602,0.5802601310758313,0.5588463042417225,0.5802601310758313,0.5628771296124185,0.8150944693693459,0.013305955708081796,18,False
17,1.0,none,200,0.001,lbfgs,0.05104219994973391,35,True,0.5808530484185533,0.59220561755203,0.5718377598595878,0.59220561755203,0.5741247706268392,0.8248486195241557,0.5649416539827499,0.5798133751785128,0.5578228355652856,0.5798133751785128,0.5623216396747451,0.8139093281420027,0.011803130952094065,19,False
19,1.0,none,500,0.001,lbfgs,0.05923060001805425,35,True,0.5808530484185533,0.59220561755203,0.5718377598595878,0.59220561755203,0.5741247706268392,0.8248486195241557,0.5649416539827499,0.5798133751785128,0.5578228355652856,0.5798133751785128,0.5623216396747451,0.8139093281420027,0.011803130952094065,20,False
14,0.1,balanced,200,0.0001,lbfgs,0.13425239990465343,80,True,0.5789027389129144,0.6097055225050582,0.5709063473237299,0.6097055225050582,0.5779182100409225,0.823325719060564,0.5611364789446981,0.5953988625066354,0.554841778819184,0.5953988625066354,0.5622334141684253,0.814995728541175,0.01568479587249716,21,False
16,0.1,balanced,500,0.0001,lbfgs,0.41618699999526143,80,True,0.5789027389129144,0.6097055225050582,0.5709063473237299,0.6097055225050582,0.5779182100409225,0.823325719060564,0.5611364789446981,0.5953988625066354,0.554841778819184,0.5953988625066354,0.5622334141684253,0.814995728541175,0.01568479587249716,22,False
33,100.0,none,200,0.001,lbfgs,0.1857315000379458,39,True,0.5823793775968795,0.5933718663797395,0.5735922431998959,0.5933718663797395,0.5753788548084864,0.8250198573339915,0.5649416539827499,0.5792905827513853,0.5578121580952884,0.5792905827513853,0.562062395837377,0.8140031717583601,0.013316458971109335,23,False
35,100.0,none,500,0.001,lbfgs,0.18708310008514673,39,True,0.5823793775968795,0.5933718663797395,0.5735922431998959,0.5933718663797395,0.5753788548084864,0.8250198573339915,0.5649416539827499,0.5792905827513853,0.5578121580952884,0.5792905827513853,0.562062395837377,0.8140031717583601,0.013316458971109335,24,False
21,1.0,balanced,200,0.001,lbfgs,0.3034688000334427,36,True,0.5800050877639278,0.6106802729443424,0.5711672698757557,0.6106802729443424,0.5787587300253088,0.8242392203162313,0.5591070522577372,0.593709947147528,0.5520943231995612,0.593709947147528,0.5606348040125243,0.8139231748058826,0.018123926012784453,25,False
23,1.0,balanced,500,0.001,lbfgs,0.06770479993429035,36,True,0.5800050877639278,0.6106802729443424,0.5711672698757557,0.6106802729443424,0.5787587300253088,0.8242392203162313,0.5591070522577372,0.593709947147528,0.5520943231995612,0.593709947147528,0.5606348040125243,0.8139231748058826,0.018123926012784453,26,False
10,0.1,none,200,0.0001,lbfgs,0.237204400007613,80,True,0.5804290680912406,0.5898591851746378,0.5714307317354003,0.5898591851746378,0.572352364067792,0.8238935585471553,0.5624048706240488,0.5747861819514075,0.5549730726844232,0.5747861819514075,0.5582310144844396,0.8145800214585361,0.014121349583352427,27,False
12,0.1,none,500,0.0001,lbfgs,0.24763940006960183,80,True,0.5804290680912406,0.5898591851746378,0.5714307317354003,0.5898591851746378,0.572352364067792,0.8238935585471553,0.5624048706240488,0.5747861819514075,0.5549730726844232,0.5747861819514075,0.5582310144844396,0.8145800214585361,0.014121349583352427,28,False
13,0.1,balanced,200,0.001,lbfgs,0.3103084999602288,35,True,0.5766980412108879,0.6078378268232829,0.5682077153733829,0.6078378268232829,0.5754925800424742,0.8228662845740587,0.556316590563166,0.5913807354320171,0.5495699358924584,0.5913807354320171,0.5573109647655423,0.8138485642920958,0.01818161527693185,29,False
15,0.1,balanced,500,0.001,lbfgs,0.18225339998025447,35,True,0.5766980412108879,0.6078378268232829,0.5682077153733829,0.6078378268232829,0.5754925800424742,0.8228662845740587,0.556316590563166,0.5913807354320171,0.5495699358924584,0.5913807354320171,0.5573109647655423,0.8138485642920958,0.01818161527693185,30,False
9,0.1,none,200,0.001,lbfgs,0.05442069994751364,34,True,0.5801746798948528,0.5898705686567758,0.5703506876576867,0.5898705686567758,0.5717272459052123,0.8234266804821143,0.5596144089294774,0.5728138148558591,0.5519364617378668,0.5728138148558591,0.5555833384553962,0.8132197828993055,0.016143907449816086,31,False
