experiment_id,C,class_weight,max_iter,tol,solver,fit_time_s,n_iter_max,converged,accuracy_inner_train,balanced_accuracy_inner_train,precision_macro_inner_train,recall_macro_inner_train,f1_macro_inner_train,auc_weighted_inner_train,accuracy_inner_valid,balanced_accuracy_inner_valid,precision_macro_inner_valid,recall_macro_inner_valid,f1_macro_inner_valid,auc_weighted_inner_valid,gap_f1_train_valid,rank_valid,selected_for_final
9,0.1,none,200,0.001,lbfgs,0.05442069994751364,34,True,0.5801746798948528,0.5898705686567758,0.5703506876576867,0.5898705686567758,0.5717272459052123,0.8234266804821143,0.5596144089294774,0.5728138148558591,0.5519364617378668,0.5728138148558591,0.5555833384553962,0.8132197828993055,0.016143907449816086,31,False
11,0.1,none,500,0.001,lbfgs,0.17493960005231202,34,True,0.5801746798948528,0.5898705686567758,0.5703506876576867,0.5898705686567758,0.5717272459052123,0.8234266804821143,0.5596144089294774,0.5728138148558591,0.5519364617378668,0.5728138148558591,0.5555833384553962,0.8132197828993055,0.016143907449816086,32,False
5,0.01,balanced,200,0.001,lbfgs,0.03320139995776117,25,True,0.5612651572967015,0.5929444063242697,0.5516404558375833,0.5929444063242697,0.5584015974222277,0.8122266230490405,0.5502283105022832,0.5836511507732033,0.5416090851387919,0.5836511507732033,0.5484240787144385,0.8058093343057603,0.00997751870778918,33,False
7,0.01,balanced,500,0.001,lbfgs,0.04752070002723485,25,True,0.5612651572967015,0.5929444063242697,0.5516404558375833,0.5929444063242697,0.5584015974222277,0.8122266230490405,0.5502283105022832,0.5836511507732033,0.5416090851387919,0.5836511507732033,0.5484240787144385,0.8058093343057603,0.00997751870778918,34,False
6,0.01,balanced,200,0.0001,lbfgs,0.09733180003240705,41,True,0.5621979140167896,0.5936009065129842,0.5530117901091183,0.5936009065129842,0.5594669381875086,0.8121475712154067,0.547945205479452,0.5814905935336431,0.5398959442131456,0.5814905935336431,0.5467850831449811,0.8056880648358236,0.012681855042527501,35,False
8,0.01,balanced,500,0.0001,lbfgs,0.18287310004234314,41,True,0.5621979140167896,0.5936009065129842,0.5530117901091183,0.5936009065129842,0.5594669381875086,0.8121475712154067,0.547945205479452,0.5814905935336431,0.5398959442131456,0.5814905935336431,0.5467850831449811,0.8056880648358236,0.012681855042527501,36,False
2,0.01,none,200,0.0001,lbfgs,0.06282470002770424,39,True,0.5655049605698296,0.569277102479727,0.5540016968327663,0.569277102479727,0.5511198498798215,0.8132569103991529,0.5474378488077118,0.5513057556509169,0.5352103537883717,0.5513057556509169,0.534599577640832,0.8055168661740685,0.016520272238989553,37,False
4,0.01,none,500,0.0001,lbfgs,0.049992899992503226,39,True,0.5655049605698296,0.569277102479727,0.5540016968327663,0.569277102479727,0.5511198498798215,0.8132569103991529,0.5474378488077118,0.5513057556509169,0.5352103537883717,0.5513057556509169,0.534599577640832,0.8055168661740685,0.016520272238989553,38,False
1,0.01,none,200,0.001,lbfgs,0.24860779999289662,25,True,0.5658441448316798,0.5701222291822291,0.5548421607875028,0.5701222291822291,0.5517928168978312,0.8135127883427756,0.5469304921359716,0.5505369342881683,0.5354696831487428,0.5505369342881683,0.5343760430780938,0.8057915926450512,0.017416773819737386,39,False
3,0.01,none,500,0.001,lbfgs,0.03455679991748184,25,True,0.5658441448316798,0.5701222291822291,0.5548421607875028,0.5701222291822291,0.5517928168978312,0.8135127883427756,0.5469304921359716,0.5505369342881683,0.5354696831487428,0.5505369342881683,0.5343760430780938,0.8057915926450512,0.017416773819737386,40,False
