,precision,recall,f1-score,support
+30,0.4251968503937008,0.3595206391478029,0.38961038961038963,751.0
+60,0.4513651877133106,0.4361088211046991,0.44360587002096435,1213.0
+90,0.5949878738884398,0.5657186779400462,0.5799842395587076,1301.0
on_time,0.6524663677130045,0.8673621460506706,0.744721689059501,671.0
accuracy,0.5378556910569106,0.5378556910569106,0.5378556910569106,0.5378556910569106
macro avg,0.5310040699271139,0.5571775710608047,0.5394805470623907,3936.0
weighted avg,0.5281282937007625,0.5378556910569106,0.5297152113713506,3936.0
